trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
406,False,"{'a': 0.002, 'e': 0.18799999999999928}",25,13,8.119092963359398,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.002, 'e': 0.18599999999999928}",20,2,-18.83781274296101,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
408,False,"{'a': 0.002, 'e': 0.18399999999999928}",20,14,12.432258036938702,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.002, 'e': 0.18199999999999927}",35,26,15.377521691304825,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.002, 'e': 0.17999999999999927}",25,12,13.42048457453936,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
411,False,"{'a': 0.002, 'e': 0.17799999999999927}",20,2,17.036106803546378,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,False,"{'a': 0.002, 'e': 0.17599999999999927}",20,5,16.38826875731633,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.002, 'e': 0.17399999999999927}",25,1,8.177558335085218,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
414,False,"{'a': 0.002, 'e': 0.17199999999999926}",20,7,22.416313939985667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.002, 'e': 0.16999999999999926}",30,13,27.56671507526858,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.002, 'e': 0.16799999999999926}",30,8,39.36199689852083,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.002, 'e': 0.16599999999999926}",25,8,26.08505699852661,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.002, 'e': 0.16399999999999926}",20,15,7.951229954029316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.002, 'e': 0.16199999999999926}",20,13,14.370649946082588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.002, 'e': 0.15999999999999925}",20,12,9.33591219244961,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.002, 'e': 0.15799999999999925}",25,14,23.03497784195776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.002, 'e': 0.15599999999999925}",30,16,24.157218935809894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.002, 'e': 0.15399999999999925}",35,18,17.039822365395445,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
424,False,"{'a': 0.002, 'e': 0.15199999999999925}",20,10,18.100811675082372,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.002, 'e': 0.14999999999999925}",20,12,14.1305688115828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.002, 'e': 0.14799999999999924}",25,14,7.991010232363668,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.002, 'e': 0.14599999999999924}",20,12,12.406145515763072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.002, 'e': 0.14399999999999924}",30,22,16.285199404395637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.002, 'e': 0.14199999999999924}",25,16,12.690849427101044,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.002, 'e': 0.13999999999999924}",30,8,23.607904471913397,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
431,False,"{'a': 0.002, 'e': 0.13799999999999923}",25,15,17.625008969896196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.002, 'e': 0.13599999999999923}",20,5,-16.280622773639937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
