trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.003041558, 'e': 0.9740939841914503}",20,0,-168.07151866566343,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
77,False,"{'a': 0.003041558, 'e': 0.9734016507915336}",25,0,-155.04259865023118,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
78,False,"{'a': 0.003041558, 'e': 0.9727003123868171}",25,0,-90.60110493401567,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.003041558, 'e': 0.9719899754654296}",20,0,-130.9684548737953,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
80,False,"{'a': 0.003041558, 'e': 0.9712706465987466}",25,0,-134.3373872705016,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.003041558, 'e': 0.9705423324413281}",30,0,-128.51645585313045,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
82,False,"{'a': 0.003041558, 'e': 0.969805039730858}",20,0,-114.35687092161535,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.003041558, 'e': 0.9690587752880812}",25,0,-103.40422516012259,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
84,False,"{'a': 0.003041558, 'e': 0.9683035460167405}",25,0,-242.56338301632806,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
85,False,"{'a': 0.003041558, 'e': 0.9675393589035135}",30,0,-304.7966277013183,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 6}",0
86,False,"{'a': 0.003041558, 'e': 0.9667662210179471}",20,0,-254.52799602720236,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 5}",0
87,False,"{'a': 0.003041558, 'e': 0.9659841395123923}",25,0,-250.12637813420503,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
88,False,"{'a': 0.003041558, 'e': 0.9651931216219382}",30,0,-133.65254212787937,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.003041558, 'e': 0.964393174664345}",20,0,-15.830562157154166,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.003041558, 'e': 0.9635843060399766}",30,0,-54.0082875757925,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
91,False,"{'a': 0.003041558, 'e': 0.9627665232317314}",25,0,-55.95210663725985,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.003041558, 'e': 0.9619398338049737}",25,0,-122.99065120896464,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
93,False,"{'a': 0.003041558, 'e': 0.9611042454074636}",20,0,-101.34066809739066,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.003041558, 'e': 0.9602597657692863}",20,0,-159.4499730236116,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
95,False,"{'a': 0.003041558, 'e': 0.95940640270278}",20,0,-57.10628354216902,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
96,False,"{'a': 0.003041558, 'e': 0.9585441641024646}",20,1,-82.23311071709603,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
97,False,"{'a': 0.003041558, 'e': 0.9576730579449679}",35,0,-221.23337533025534,"{0: 17, 1: 6, 2: 7, 3: 3, 4: 2}",0
98,False,"{'a': 0.003041558, 'e': 0.9567930922889522}",20,0,-55.800690456691555,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.003041558, 'e': 0.9559042752750394}",25,0,-119.51767684398533,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
100,False,"{'a': 0.003041558, 'e': 0.9550066151257363}",25,0,-87.504996212454,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
101,False,"{'a': 0.003041558, 'e': 0.9541001201453577}",20,0,-136.52304967323337,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
102,False,"{'a': 0.003041558, 'e': 0.9531847987199504}",25,0,-107.43333543335007,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
103,False,"{'a': 0.003041558, 'e': 0.9522606593172152}",35,10,-66.26135417997793,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
104,False,"{'a': 0.003041558, 'e': 0.9513277104864282}",20,0,-140.0757071903399,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.003041558, 'e': 0.9503859608583626}",30,0,-191.92371631435145,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
106,False,"{'a': 0.003041558, 'e': 0.9494354191452081}",35,0,-261.63986339778756,"{0: 18, 1: 4, 2: 8, 3: 1, 4: 4}",0
107,False,"{'a': 0.003041558, 'e': 0.9484760941404908}",30,0,-91.5909458362383,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.003041558, 'e': 0.9475079947189915}",25,2,-68.41718707762742,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 0}",1
109,False,"{'a': 0.003041558, 'e': 0.9465311298366634}",20,1,-16.802707118796295,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.003041558, 'e': 0.9455455085305503}",30,0,-207.1072403516685,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
111,False,"{'a': 0.003041558, 'e': 0.9445511399187017}",20,0,-112.58498293413417,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
112,False,"{'a': 0.003041558, 'e': 0.943548033200089}",20,0,-145.43978843605512,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
113,False,"{'a': 0.003041558, 'e': 0.9425361976545208}",25,0,-151.0542107596821,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
114,False,"{'a': 0.003041558, 'e': 0.9415156426425565}",25,0,-50.72353421567741,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
115,False,"{'a': 0.003041558, 'e': 0.9404863776054196}",20,0,-161.89581167538924,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
116,False,"{'a': 0.003041558, 'e': 0.9394484120649113}",20,0,-166.00847324602583,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.003041558, 'e': 0.938401755623321}",25,0,-155.6546133826552,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
118,False,"{'a': 0.003041558, 'e': 0.9373464179633386}",25,0,-156.6660758760192,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
119,False,"{'a': 0.003041558, 'e': 0.9362824088479645}",35,0,-169.00046527120855,"{0: 24, 1: 1, 2: 5, 3: 3, 4: 2}",0
120,False,"{'a': 0.003041558, 'e': 0.9352097381204194}",20,0,-148.63522239311826,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
121,False,"{'a': 0.003041558, 'e': 0.9341284157040529}",30,0,-141.77653085189974,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
122,False,"{'a': 0.003041558, 'e': 0.9330384516022524}",35,0,-124.86904462837037,"{0: 26, 1: 1, 2: 4, 3: 3, 4: 1}",0
123,False,"{'a': 0.003041558, 'e': 0.9319398558983496}",25,0,-48.708400942213586,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
124,False,"{'a': 0.003041558, 'e': 0.9308326387555281}",30,0,-161.2731226024633,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
125,False,"{'a': 0.003041558, 'e': 0.9297168104167289}",20,0,-74.66984293800178,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
126,False,"{'a': 0.003041558, 'e': 0.9285923812045558}",20,0,-141.51101596589743,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
127,False,"{'a': 0.003041558, 'e': 0.9274593615211797}",25,0,-110.36976516512031,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
128,False,"{'a': 0.003041558, 'e': 0.9263177618482428}",20,12,-11.447280150482747,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.003041558, 'e': 0.9251675927467611}",25,0,-88.00639677189436,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
130,False,"{'a': 0.003041558, 'e': 0.9240088648570273}",25,4,-49.65683155223398,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 0}",1
131,False,"{'a': 0.003041558, 'e': 0.9228415888985116}",30,3,-122.49438949282563,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 1}",1
132,False,"{'a': 0.003041558, 'e': 0.9216657756697634}",25,0,-106.95403379276242,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
133,False,"{'a': 0.003041558, 'e': 0.9204814360483106}",25,0,-71.85861379946088,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
134,False,"{'a': 0.003041558, 'e': 0.9192885809905595}",20,8,-120.48729897802791,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 2}",1
135,False,"{'a': 0.003041558, 'e': 0.9180872215316934}",25,0,-214.06564137339214,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
136,False,"{'a': 0.003041558, 'e': 0.9168773687855701}",25,0,-51.73407993846858,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.003041558, 'e': 0.9156590339446198}",30,0,-147.47235837391972,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
138,False,"{'a': 0.003041558, 'e': 0.9144322282797406}",25,0,-108.209712760966,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.003041558, 'e': 0.9131969631401953}",20,0,-120.32398925856455,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
140,False,"{'a': 0.003041558, 'e': 0.9119532499535054}",35,0,-124.64883410667733,"{0: 18, 1: 5, 2: 12, 3: 0, 4: 0}",0
141,False,"{'a': 0.003041558, 'e': 0.9107011002253461}",20,0,-94.97479059223001,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
142,False,"{'a': 0.003041558, 'e': 0.9094405255394398}",25,0,-135.24208651064126,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
143,False,"{'a': 0.003041558, 'e': 0.9081715375574484}",20,0,-70.53700506387048,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
144,False,"{'a': 0.003041558, 'e': 0.9068941480188659}",20,0,-164.37466310514708,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
145,False,"{'a': 0.003041558, 'e': 0.9056083687409099}",20,0,-73.82990359762223,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
146,False,"{'a': 0.003041558, 'e': 0.9043142116184116}",25,0,-155.06569077526572,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
147,False,"{'a': 0.003041558, 'e': 0.9030116886237067}",30,0,-130.55123263767072,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
148,False,"{'a': 0.003041558, 'e': 0.9017008118065237}",35,6,-115.77994009006002,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 1}",1
149,False,"{'a': 0.003041558, 'e': 0.9003815932938732}",20,0,-55.93723160420659,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
150,False,"{'a': 0.003041558, 'e': 0.8990540452899354}",30,0,-57.3575420358289,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
151,False,"{'a': 0.003041558, 'e': 0.8977181800759467}",35,0,-149.07369392522494,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
152,False,"{'a': 0.003041558, 'e': 0.8963740100100873}",30,0,-167.92730320350705,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
153,False,"{'a': 0.003041558, 'e': 0.8950215475273657}",20,0,-61.50390007138513,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
154,False,"{'a': 0.003041558, 'e': 0.8936608051395042}",25,0,-51.93172599112475,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.003041558, 'e': 0.8922917954348231}",20,0,-67.6769577176951,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.003041558, 'e': 0.890914531078124}",25,0,-129.7537982734192,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
157,False,"{'a': 0.003041558, 'e': 0.8895290248105732}",25,10,-25.74412697938032,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.003041558, 'e': 0.8881352894495833}",30,8,-100.25983429887252,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
