trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.006007875, 'e': 0.45246742834091147}",25,13,-2.8626112557316192,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.006007875, 'e': 0.44975721006817737}",30,0,-95.78450815690525,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
135,False,"{'a': 0.006007875, 'e': 0.44706322563378337}",25,0,-8.81153729624447,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.006007875, 'e': 0.4443853777992488}",20,13,6.143567230221542,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.006007875, 'e': 0.4417235699085382}",30,24,10.343153134668873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.006007875, 'e': 0.43907770588457257}",35,0,-101.50766800067812,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 1}",0
139,False,"{'a': 0.006007875, 'e': 0.4364476902257616}",30,18,-33.68039923641836,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
140,False,"{'a': 0.006007875, 'e': 0.43383342800255636}",20,16,6.279750164703278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.006007875, 'e': 0.4312348248540232}",30,5,-2.4182431838101905,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.006007875, 'e': 0.42865178698443734}",20,9,22.593684863106255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.006007875, 'e': 0.42608422115989797}",25,12,-6.6140699136679935,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.006007875, 'e': 0.4235320347049623}",25,9,-25.28413243220851,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.006007875, 'e': 0.42099513549930107}",30,7,-70.09337328537937,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
146,False,"{'a': 0.006007875, 'e': 0.4184734319743731}",20,10,9.970166861671895,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.006007875, 'e': 0.41596683311012034}",20,0,-68.75755189452904,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
148,False,"{'a': 0.006007875, 'e': 0.4134752484316825}",35,17,-49.88833815109136,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
149,False,"{'a': 0.006007875, 'e': 0.41099858800613137}",25,19,11.687920740526272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.006007875, 'e': 0.40853676243922477}",25,17,19.44681089912209,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.006007875, 'e': 0.4060896828721798}",25,13,2.556182139660546,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.006007875, 'e': 0.4036572609784656}",30,12,-13.437058466836175,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
153,False,"{'a': 0.006007875, 'e': 0.4012394089606153}",30,0,-112.57615050238805,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
154,False,"{'a': 0.006007875, 'e': 0.3988360395470566}",20,9,17.990942422633566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.006007875, 'e': 0.39644706598896234}",20,16,7.521861511514354,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.006007875, 'e': 0.3940724020571189}",20,0,-28.944811317608586,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.006007875, 'e': 0.3917119620388139}",25,0,-40.42592583050168,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
