trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.006007875, 'e': 0.6073478274132438}",25,0,15.74528028172114,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.006007875, 'e': 0.6037098966437375}",20,0,-96.70380163218155,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
86,False,"{'a': 0.006007875, 'e': 0.6000937565840789}",30,10,-54.84288962284965,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.006007875, 'e': 0.5964992767108837}",20,0,11.975345097112845,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.006007875, 'e': 0.5929263272825849}",20,0,-51.39471540827503,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.006007875, 'e': 0.5893747793347497}",35,2,-90.91556565129873,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 1}",1
90,False,"{'a': 0.006007875, 'e': 0.5858445046754251}",30,13,-95.10260280252838,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
91,False,"{'a': 0.006007875, 'e': 0.5823353758805102}",30,11,-147.34317475691975,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 3}",1
92,False,"{'a': 0.006007875, 'e': 0.578847266289157}",25,0,-42.265747416422656,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
93,False,"{'a': 0.006007875, 'e': 0.5753800499991989}",20,0,-3.588273201816551,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.006007875, 'e': 0.571933601862606}",20,0,13.34187418553557,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.006007875, 'e': 0.5685077974809682}",25,0,-76.68146274111132,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.006007875, 'e': 0.5651025132010049}",20,0,2.5535534835476743,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.006007875, 'e': 0.5617176261101017}",20,6,12.135160206476545,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.006007875, 'e': 0.5583530140318741}",20,7,1.8165923696833923,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.006007875, 'e': 0.5550085555217574}",30,5,-53.06654083355808,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.006007875, 'e': 0.5516841298626236}",25,14,6.620575489074098,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.006007875, 'e': 0.5483796170604235}",25,0,-67.72924990224999,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.006007875, 'e': 0.5450948978398561}",20,0,13.755510641537956,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.006007875, 'e': 0.5418298536400632}",20,8,-49.82158734270068,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
104,False,"{'a': 0.006007875, 'e': 0.5385843666103499}",20,8,4.689465384367026,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.006007875, 'e': 0.535358319605931}",20,0,-72.67447679583034,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
